PDB ID,Angle Alpha,Angle Beta,Angle Gamma,Length A,Length B,Length C,Space Group,Z-number
"1VG8","71.73","71.69","77.65","57.06","57.07","74.31","P 1","4"
"1VGX","103.19","90.55","114.32","42.22","42.86","49.35","P 1",""
"1VH0","91.06","107.14","90.14","48.53","74.50","81.53","P 1",""
"1VIA","81.51","76.58","77.87","41.93","43.23","52.61","P 1","2"
"1VJN","73.66","89.25","64.96","43.15","45.72","63.49","P 1","2"
"1VJU","86.46","77.13","61.50","52.65","53.73","66.63","P 1","2"
"1VK8","73.80","62.90","73.62","47.65","47.65","49.61","P 1","4"
"1VKK","69.95","87.51","70.46","29.05","34.60","38.37","P 1","1"
"1VLD","63.69","63.98","64.90","174.02","179.64","181.23","P 1","6"
"1VLE","64.11","64.45","65.11","172.47","178.14","179.05","P 1","6"
"1VLF","63.83","64.40","65.04","172.57","178.44","179.66","P 1","6"
"1VLN","97.10","90.20","97.50","78.80","79.30","133.30","P 1","8"
"1VLP","97.35","95.67","97.99","54.41","83.10","107.24","P 1","4"
"1VLY","94.68","115.29","116.46","44.81","50.08","52.01","P 1","1"
"1VMK","117.34","100.95","100.71","46.48","74.60","74.59","P 1","3"
"1VQW","99.00","107.09","102.02","59.59","72.64","80.35","P 1","2"
"1VR4","65.88","70.37","70.88","51.94","53.56","53.48","P 1","5"
"1VSZ","119.57","91.71","118.08","854.03","855.17","865.24","P 1","12"
"1VT4","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1VTM","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1W0R","90.00","90.00","90.00","1.00","1.00","1.00","P 1","2"
"1W0S","90.00","90.00","90.00","1.00","1.00","1.00","P 1","3"
"1W2R","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1W2S","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1W3B","105.08","105.14","110.28","64.32","75.51","77.67","P 1","2"
"1W3M","65.64","68.35","69.88","33.49","36.39","37.51","P 1","12"
"1W45","84.42","83.32","74.10","49.30","59.65","70.79","P 1","2"
"1W4C","90.00","91.60","90.50","115.40","126.30","155.60","P 1","24"
"1W4V","87.75","82.77","79.20","49.06","49.14","78.71","P 1","6"
"1W5E","90.07","90.19","119.86","113.95","114.33","115.14","P 1","9"
"1W6S","86.09","104.11","109.68","62.90","73.62","88.08","P 1","2"
"1W89","87.77","82.30","79.31","49.58","49.61","80.02","P 1","6"
"1W8F","85.35","80.05","65.60","47.01","48.35","52.47","P 1","4"
"1W9S","108.95","105.93","90.00","30.80","40.83","56.12","P 1","2"
"1W9T","108.89","105.87","90.03","30.71","40.97","56.04","P 1","2"
"1WCB","79.40","78.20","80.80","57.90","60.30","64.60","P 1","2"
"1WDX","89.83","83.37","85.41","28.73","44.77","51.12","P 1","4"
"1WE0","77.22","82.33","80.08","79.22","79.32","104.45","P 1","10"
"1WE3","82.88","85.35","68.52","140.38","156.42","273.15","P 1","14"
"1WF4","82.88","85.35","68.52","140.38","156.42","273.15","P 1","14"
"1WKP","75.15","72.18","70.55","53.97","61.54","66.84","P 1","4"
"1WKU","86.67","87.80","87.33","38.50","45.96","67.00","P 1","2"
"1WMS","99.75","107.17","101.84","38.40","45.62","51.22","P 1","2"
"1WP7","80.71","86.34","65.81","31.66","31.73","51.26","P 1","3"
"1WP8","86.33","86.16","67.98","32.19","31.90","53.87","P 1","3"
"1WUO","85.37","75.53","73.62","49.73","73.02","82.45","P 1","4"
"1WUP","84.81","76.10","74.00","49.21","73.06","80.89","P 1","4"
"1WW4","89.98","111.73","90.22","47.26","57.08","64.31","P 1","4"
"1WW5","89.96","111.65","90.14","47.62","57.65","64.64","P 1","4"
"1WW6","90.16","111.62","89.88","47.51","57.34","64.47","P 1","4"
"1WXX","96.34","90.14","103.06","77.55","82.32","79.62","P 1","4"
"1WYK","109.40","101.50","90.14","35.98","59.54","71.05","P 1","4"
"1X0R","105.37","105.28","93.32","75.63","101.79","102.89","P 1","10"
"1X13","67.11","80.66","81.23","38.76","66.90","76.30","P 1","2"
"1X14","67.08","80.69","80.99","38.77","66.99","76.62","P 1","2"
"1X15","67.22","80.19","81.60","38.73","67.09","76.84","P 1","2"
"1X9D","89.49","63.60","62.61","50.69","53.88","56.23","P 1","1"
"1XAF","90.32","96.32","90.40","43.87","50.58","55.35","P 1","2"
"1XCA","106.41","90.69","110.64","37.58","62.27","35.12","P 1","2"
"1XCJ","104.25","112.67","104.45","36.19","41.40","42.32","P 1","1"
"1XCL","104.24","112.89","104.16","36.16","41.39","42.57","P 1","1"
"1XD3","86.12","75.03","76.78","46.11","49.29","67.62","P 1","2"
"1XE0","77.00","88.30","60.90","59.00","59.00","87.20","P 1","10"
"1XFB","107.96","108.58","97.39","83.87","121.99","129.52","P 1","12"
"1XFI","74.57","74.60","84.04","40.17","43.28","52.64","P 1","1"
"1XI4","90.00","90.00","90.00","873.60","873.60","873.60","P 1","9"
"1XI5","90.00","90.00","90.00","1075.20","1075.20","1075.20","P 1","9"
"1XK6","100.39","110.01","100.03","70.84","83.17","89.94","P 1","4"
"1XLS","79.02","85.81","67.22","68.27","88.38","105.49","P 1","8"
"1XO7","109.55","104.21","104.92","53.31","62.14","64.64","P 1","4"
"1XPK","84.25","72.52","70.44","64.27","84.61","94.63","P 1","3"
"1XQ7","110.49","108.21","105.40","52.27","57.06","58.81","P 1","3"
"1XSQ","100.70","99.84","117.19","43.19","45.27","51.80","P 1","2"
"1XTI","95.70","101.60","111.14","37.16","49.91","62.67","P 1","1"
"1XTK","95.57","101.93","110.89","37.43","49.76","62.81","P 1","1"
"1XTL","78.24","89.91","85.47","52.15","56.59","59.12","P 1","4"
"1XTU","109.00","90.76","115.40","71.67","76.51","91.45","P 1","8"
"1XTV","85.82","85.28","62.46","68.10","73.57","115.10","P 1","8"
"1XVM","102.22","103.93","102.59","33.28","37.04","40.10","P 1","1"
"1XVO","102.90","104.48","102.39","32.94","37.09","39.85","P 1","1"
"1XWV","85.98","75.90","82.76","25.71","47.64","48.28","P 1","2"
"1XXP","111.80","90.00","109.70","54.17","71.09","47.86","P 1","4"
"1XXV","104.45","115.05","89.97","54.13","47.17","71.82","P 1","4"
"1XYZ","100.54","83.79","101.64","47.10","51.10","70.74","P 1","2"
"1Y0H","103.44","107.96","94.34","30.44","34.60","42.85","P 1","2"
"1Y1L","100.00","90.70","100.00","48.39","48.51","66.37","P 1","4"
"1Y1M","110.12","91.55","108.69","53.16","53.20","67.55","P 1","2"
"1Y62","119.92","107.52","91.14","50.76","51.54","51.60","P 1","6"
"1Y6Z","66.51","75.78","72.31","37.06","59.82","64.91","P 1","2"
"1YAJ","90.12","89.93","89.72","54.56","181.49","202.71","P 1","12"
"1YCD","102.85","90.04","112.47","46.13","53.33","64.27","P 1","2"
"1YH3","108.27","90.47","97.29","41.84","51.49","66.44","P 1","2"
"1YKD","103.57","96.56","115.15","61.96","66.26","70.21","P 1","2"
"1YLA","64.19","74.61","69.89","37.83","55.02","61.76","P 1","2"
"1YN8","111.94","90.98","104.18","32.41","53.30","57.83","P 1","6"
"1YNF","75.41","78.38","89.74","55.83","94.17","139.66","P 1","6"
"1YOJ","100.52","88.88","89.99","41.87","62.54","73.90","P 1","2"
"1YOL","100.38","89.16","89.99","41.53","62.95","72.79","P 1","2"
"1YOM","100.61","88.86","89.89","41.70","63.08","74.06","P 1","2"
"1YQ9","89.33","102.41","90.95","62.75","93.44","69.03","P 1","2"
"1YS6","100.29","101.68","92.52","37.22","46.54","65.66","P 1","2"
"1YS7","100.33","102.01","92.90","37.35","46.49","65.55","P 1","2"
"1YTL","93.92","103.64","94.14","36.66","61.94","71.20","P 1","4"
"1YUP","90.00","105.76","90.00","52.24","94.14","64.15","P 1","8"
"1YXB","79.21","82.13","75.42","44.90","62.36","76.62","P 1","8"
"1YXN","90.00","90.00","90.00","517.63","517.63","517.63","P 1","3"
"1Z0M","70.72","68.77","65.79","43.74","44.89","50.33","P 1","3"
"1Z0N","71.90","69.70","65.40","43.75","45.25","50.60","P 1","3"
"1Z0S","106.35","111.32","101.30","55.25","69.73","76.29","P 1","4"
"1Z6T","62.96","89.99","90.05","75.96","92.88","94.99","P 1","4"
"1Z6Y","112.96","97.69","90.00","38.66","48.78","55.90","P 1","2"
"1Z7A","60.71","61.24","89.90","101.65","101.77","100.99","P 1","8"
"1Z7Z","90.00","90.00","90.00","742.00","742.00","742.00","P 1","1"
"1Z8Y","90.00","90.00","90.00","744.34","744.34","744.34","P 1","4"
"1Z9N","66.59","89.87","76.03","37.32","65.90","69.54","P 1","4"
"1Z9O","90.01","90.00","60.03","50.05","50.03","90.29","P 1","6"
"1ZBL","83.63","89.90","65.69","36.90","44.98","62.28","P 1","2"
"1ZBQ","87.52","87.07","70.75","50.83","50.77","183.77","P 1","6"
"1ZCZ","99.26","96.89","106.13","62.08","58.63","72.75","P 1","2"
"1ZE1","87.48","86.44","79.35","44.65","64.17","176.07","P 1","4"
"1ZGL","74.39","83.19","61.55","96.48","97.69","124.02","P 1","4"
"1ZGP","89.74","100.25","92.86","57.28","57.23","71.54","P 1","4"
"1ZHS","90.45","98.45","108.91","47.78","73.74","78.86","P 1","8"
"1ZIU","101.15","107.72","101.90","37.40","43.97","57.88","P 1","1"
"1ZJA","67.36","73.13","70.82","63.67","71.96","82.24","P 1","2"
"1ZK3","101.41","92.78","114.48","62.63","72.23","118.09","P 1","8"
"1ZKB","100.25","101.74","102.16","37.58","44.01","57.35","P 1","1"
"1ZKK","89.22","87.07","90.72","43.96","45.78","94.43","P 1","4"
"1ZKR","70.80","80.56","81.53","38.59","43.00","48.91","P 1","2"
"1ZKU","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1ZLG","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1ZLJ","89.90","89.91","90.99","33.07","60.49","74.23","P 1","8"
"1ZMB","106.50","100.22","113.80","71.00","87.94","103.51","P 1","6"
"1ZMG","101.46","106.82","102.60","38.86","43.95","57.79","P 1","1"
"1ZMO","97.29","89.97","112.98","64.98","77.72","111.42","P 1","8"
"1ZN7","76.59","69.26","61.89","47.02","47.27","47.52","P 1","2"
"1ZN8","75.41","68.42","61.49","47.06","47.47","47.84","P 1","2"
"1ZO1","90.00","90.00","90.00","366.60","366.60","366.60","P 1","1"
"1ZO3","90.00","90.00","90.00","366.60","366.60","366.60","P 1","2"
"1ZPD","102.86","94.59","112.69","69.87","92.17","98.26","P 1","4"
"1ZUM","78.81","81.95","88.04","95.87","105.26","162.67","P 1","12"
"1ZV8","81.26","87.08","84.10","31.05","55.56","71.68","P 1","6"
"1ZVD","90.00","90.00","90.00","51.36","70.51","152.35","P 1","1"
"1ZVJ","114.90","105.90","102.10","41.85","44.66","49.07","P 1","1"
"1ZVO","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1ZVT","86.11","86.90","70.57","40.91","50.49","72.76","P 1","2"
"1ZXT","83.54","89.68","79.19","34.45","40.64","55.09","P 1","4"
"1ZZW","95.35","99.81","117.35","39.53","41.07","55.57","P 1","2"
"1ZZY","78.43","67.38","88.39","33.66","36.60","42.84","P 1","2"
"244D","74.39","77.64","89.73","28.76","35.47","56.77","P 1","16"
"256B","102.76","86.55","106.70","33.71","50.48","32.73","P 1","2"
"280D","98.87","72.95","96.16","29.44","28.91","46.46","P 1","4"
"2A1F","94.85","96.68","96.88","77.37","79.89","79.90","P 1","6"
"2A2A","92.16","103.45","94.25","55.30","60.65","98.71","P 1","4"
"2A38","71.96","88.49","75.41","55.41","56.29","74.41","P 1","3"
"2A3W","86.53","78.15","76.78","96.71","105.32","146.01","P 1","20"
"2A5G","107.38","101.72","102.94","38.07","44.48","56.04","P 1","1"
"2A8Y","91.57","91.23","91.52","96.60","96.56","96.63","P 1","12"
"2AA1","80.73","81.36","62.01","58.10","60.80","61.23","P 1","2"
"2ABQ","82.38","87.28","82.14","42.62","48.71","79.05","P 1","2"
"2AC0","82.93","87.99","73.60","54.44","58.15","77.54","P 1","4"
"2ACL","88.98","75.20","78.27","60.77","81.95","111.44","P 1","4"
"2ADO","72.95","87.54","61.80","42.05","44.44","61.94","P 1","2"
"2AEN","90.03","90.02","75.54","42.42","84.12","90.77","P 1","8"
"2AFA","106.81","103.52","111.79","88.93","91.14","95.10","P 1","6"
"2AFI","73.69","79.37","76.58","72.92","141.43","165.55","P 1","8"
"2AG5","106.05","105.95","100.97","62.09","62.06","74.04","P 1","4"
"2AG9","76.16","87.70","87.54","41.49","48.39","55.59","P 1","2"
"2AGN","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"2AHC","70.24","67.40","67.17","56.17","58.56","70.65","P 1","4"
"2AHI","83.08","87.94","73.56","54.55","58.19","77.54","P 1","4"
"2AJ8","112.79","95.74","90.63","63.11","118.96","133.76","P 1","4"
"2AJB","112.67","94.94","91.02","62.30","118.50","133.53","P 1","4"
"2AJC","112.76","95.16","90.95","62.35","118.68","133.68","P 1","4"
"2AJD","111.41","95.27","94.52","63.40","122.07","134.03","P 1","4"
"2AKF","92.51","96.85","119.63","23.59","23.57","46.40","P 1","3"
"2AKY","110.70","108.80","64.70","36.00","40.40","45.50","P 1","1"
"2APJ","108.16","93.25","90.40","40.69","71.92","93.21","P 1","4"
"2AQ1","74.79","75.05","88.54","63.20","70.19","98.40","P 1","4"
"2AQ3","74.18","75.76","88.40","64.16","70.46","98.37","P 1","4"
"2AQX","59.90","72.74","88.18","53.20","60.65","56.85","P 1","2"
"2ATA","83.35","87.55","73.50","54.65","58.00","77.98","P 1","4"
"2ATY","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"2AV1","82.10","76.39","78.10","50.33","62.54","74.75","P 1","2"
"2AV7","82.13","76.57","78.06","50.32","62.53","74.80","P 1","2"
"2AWY","92.76","103.49","90.00","33.16","44.85","47.54","P 1","2"
"2B0D","97.20","109.00","106.60","48.00","48.40","63.60","P 1","2"
"2B0E","97.00","109.00","106.70","48.10","48.50","63.90","P 1","2"
"2B1D","82.15","69.13","81.44","39.98","40.35","40.26","P 1","6"
"2B1G","80.80","81.50","90.00","57.20","62.00","196.60","P 1","4"
"2B4Y","93.50","92.75","94.98","44.57","58.76","104.96","P 1","4"
"2B5T","77.55","78.94","68.08","59.28","59.53","108.41","P 1","2"
"2B98","68.48","74.61","74.90","41.77","72.69","72.70","P 1","5"
"2B99","68.50","74.39","74.53","41.94","72.91","72.78","P 1","5"
"2BCN","102.47","98.74","102.16","44.53","47.09","84.29","P 1","2"
"2BDF","93.03","91.43","97.79","41.93","59.74","63.59","P 1","2"
"2BEA","85.97","80.00","85.71","34.30","40.44","58.78","P 1","2"
"2BFH","94.60","103.50","87.50","33.38","34.72","30.92","P 1","1"
"2BG9","90.00","90.00","90.00","129.60","129.60","174.50","P 1","2"
"2BGG","76.54","76.14","79.35","51.92","61.21","104.06","P 1","2"
"2BGY","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"2BGZ","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"2BIF","116.90","99.31","105.20","61.74","73.51","76.70","P 1","2"
"2BJD","81.97","77.37","72.37","26.19","36.78","45.98","P 1","2"
"2BJI","67.22","69.65","85.14","47.23","55.15","60.88","P 1","2"
"2BJO","84.45","91.51","73.89","35.34","41.43","44.60","P 1","2"
"2BK1","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"2BK2","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"2BKQ","99.74","110.95","92.41","57.07","57.51","75.00","P 1","4"
"2BLD","90.00","90.00","90.00","1097.60","1097.60","1097.60","P 1","60"
"2BMC","115.73","92.40","101.54","74.02","101.22","101.49","P 1","6"
"2BOY","85.37","66.53","76.94","83.18","86.61","93.45","P 1","8"
"2BP1","88.72","71.14","75.22","58.99","78.79","86.02","P 1","4"
"2BQZ","64.74","86.66","90.61","42.18","46.32","52.00","P 1","2"
"2BS0","63.06","62.98","63.28","274.20","273.00","273.90","P 1","180"
"2BS1","63.26","63.11","63.31","273.10","273.50","273.40","P 1","180"
"2BSG","90.00","90.00","90.00","1.00","1.00","1.00","P 1","3"
"2BT4","65.91","65.91","90.01","196.62","196.49","240.63","P 1","12"
"2BTL","100.51","95.48","110.16","34.77","35.37","55.95","P 1","2"
"2BUA","112.40","94.98","90.99","62.42","118.13","133.32","P 1","4"
"2BUC","112.44","94.72","91.30","61.64","117.49","133.06","P 1","4"
"2BUF","91.49","92.03","107.56","71.86","98.78","162.90","P 1","12"
"2BV1","78.43","85.30","69.74","40.74","43.20","58.65","P 1","2"
"2BVF","89.56","85.29","73.03","60.53","62.40","73.35","P 1","2"
"2BVI","90.00","90.00","90.00","1097.60","1097.60","1097.60","P 1","720"
"2BVK","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"2BX8","81.21","91.07","64.75","54.20","54.95","119.90","P 1","2"
"2BX9","113.99","101.37","100.50","51.55","60.12","60.35","P 1","12"
"2BXA","81.01","90.88","64.58","54.98","55.43","119.97","P 1","2"
"2BXB","81.33","90.52","65.38","55.16","55.50","120.51","P 1","2"
"2BXC","81.52","91.61","64.92","54.65","55.33","120.00","P 1","2"
"2BXD","81.14","90.53","64.79","55.02","55.36","119.59","P 1","2"
"2BXE","81.54","90.09","65.93","55.41","55.53","120.52","P 1","2"
"2BXF","81.17","90.22","65.93","55.29","55.78","120.51","P 1","2"
"2BXG","81.19","90.34","65.93","55.32","55.44","120.14","P 1","2"
"2BXH","81.27","91.09","65.29","54.71","55.20","119.88","P 1","2"
"2BXX","99.20","94.07","108.96","35.42","35.78","55.86","P 1","2"
"2BYS","89.95","97.33","106.64","75.76","85.73","117.32","P 1","10"
"2BYU","90.00","90.00","90.00","1.00","1.00","1.00","P 1","12"
"2C0M","71.17","89.99","73.43","53.47","85.55","88.89","P 1","4"
"2C0W","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"2C2G","108.96","102.00","107.36","57.63","61.01","76.68","P 1","2"
"2C35","85.53","81.80","81.77","45.69","83.19","99.31","P 1","4"
"2C7C","90.00","90.00","90.00","268.80","268.80","268.80","P 1","14"
"2C7D","90.00","90.00","90.00","268.80","268.80","268.80","P 1","14"
"2C7E","90.00","90.00","90.00","1.00","1.00","1.00","P 1","14"
"2C7N","108.20","102.70","90.40","44.30","68.90","98.50","P 1","6"
"2C8I","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"2C91","90.02","119.40","78.50","98.53","159.24","96.70","P 1","10"
"2C9B","64.39","64.69","65.03","78.04","78.36","88.84","P 1","10"
"2C9D","64.27","64.39","62.81","79.96","79.96","88.35","P 1","10"
"2C9F","90.00","90.00","90.00","478.80","478.80","478.80","P 1","60"
"2C9G","90.00","90.00","90.00","384.16","384.16","384.16","P 1","60"
"2C9J","83.80","89.98","73.85","54.00","60.11","125.40","P 1","8"
"2C9M","97.64","99.94","95.22","64.95","81.28","131.01","P 1","2"
"2CGT","90.00","90.00","90.00","268.00","268.00","268.00","P 1","14"
"2CH5","63.43","75.66","75.06","57.54","98.48","101.98","P 1","4"
"2CHN","75.34","93.86","77.07","51.71","94.54","99.48","P 1","2"
"2CHO","75.51","94.15","77.15","51.69","93.45","98.83","P 1","2"
"2CHU","91.29","97.06","107.34","73.07","42.44","57.52","P 1","2"
"2CJF","65.84","65.89","89.97","195.76","195.73","239.68","P 1","12"
"2CKE","92.09","103.39","94.16","55.21","60.48","99.28","P 1","4"
"2CLR","81.99","76.43","78.06","50.41","62.91","74.81","P 1","2"
"2CSE","90.00","90.00","90.00","850.00","850.00","850.00","P 1","10"
"2CV4","105.18","92.91","105.39","76.74","103.43","102.81","P 1","10"
"2CVD","85.83","88.71","89.98","46.94","49.08","93.14","P 1","4"
"2CXB","102.94","72.44","90.57","45.31","37.97","37.60","P 1","2"
"2D3E","101.49","101.66","90.13","39.08","46.86","95.26","P 1","4"
"2D40","114.08","94.93","108.11","54.13","76.07","85.46","P 1","4"
"2D4E","103.97","116.11","104.44","95.20","95.09","98.83","P 1","4"
"2DBR","113.76","91.17","94.00","68.05","85.44","107.13","P 1","6"
"2DDR","112.19","89.97","116.76","65.43","72.69","77.86","P 1","4"
"2DDS","112.00","90.05","116.58","65.09","72.67","78.06","P 1","4"
"2DDT","81.87","81.84","79.68","50.84","50.89","59.51","P 1","2"
"2DES","92.60","100.50","94.90","18.01","18.83","26.75","P 1","2"
"2DGE","82.51","62.08","63.26","50.44","51.84","53.69","P 1","4"
"2DGM","76.65","76.94","78.04","91.34","91.80","93.91","P 1","6"
"2DHF","93.90","91.40","111.50","36.10","38.50","76.80","P 1","2"
"2DQB","110.20","109.70","94.40","74.10","84.20","108.00","P 1","6"
"2DRM","90.28","90.11","90.64","29.97","37.86","44.51","P 1","4"
"2DRV","104.65","102.96","109.25","37.35","52.90","53.12","P 1","2"
"2DW7","117.76","90.03","90.67","74.84","162.54","168.18","P 1","16"
"2DWQ","80.11","76.46","73.12","52.94","54.36","92.58","P 1","2"
"2DY0","109.40","101.84","110.56","40.11","48.19","54.79","P 1","2"
"2DYK","119.88","90.02","88.91","35.42","50.54","50.45","P 1","2"
"2DZE","107.35","105.94","93.95","40.15","52.13","60.65","P 1","2"
"2E2G","105.79","105.19","92.68","76.20","103.35","104.63","P 1","10"
"2E2M","105.88","105.12","92.63","76.24","103.13","104.68","P 1","10"
"2E3P","77.72","71.06","82.10","45.98","49.70","62.37","P 1","2"
"2E3R","77.54","70.96","81.85","46.46","50.13","62.65","P 1","2"
"2E6K","72.48","89.13","73.36","72.61","88.96","117.18","P 1","4"
"2E9E","85.30","84.06","75.68","58.52","72.54","83.98","P 1","2"
"2E9V","92.83","104.39","113.86","45.88","56.78","64.60","P 1","2"
"2E9X","104.69","102.96","95.47","57.93","88.74","102.13","P 1","2"
"2EBA","75.92","81.25","64.24","75.24","86.24","157.42","P 1","8"
"2EC2","107.96","104.39","110.72","55.12","66.57","69.47","P 1","6"
"2EFB","79.93","77.86","72.50","59.20","75.59","83.81","P 1","2"
"2EFC","81.68","86.89","72.97","58.38","58.47","68.71","P 1","2"
"2EFE","81.75","86.83","73.79","58.24","58.30","69.24","P 1","2"
"2EFH","81.90","87.42","72.75","58.47","58.61","68.97","P 1","2"
"2EFR","66.40","89.93","90.03","42.36","65.84","71.14","P 1","4"
"2EFS","66.64","89.99","90.30","43.20","63.72","73.26","P 1","4"
"2EHA","85.45","84.04","75.89","57.99","72.27","83.65","P 1","2"
"2EJN","70.80","80.56","81.53","38.59","43.00","48.91","P 1","2"
"2EP5","68.10","68.39","86.04","70.16","73.99","91.55","P 1","4"
"2EQ6","93.26","107.39","108.71","61.32","62.68","73.56","P 1","2"
"2EQ9","89.26","87.01","70.84","88.78","88.88","144.15","P 1","8"
"2ERJ","83.85","82.45","89.72","57.27","70.54","129.24","P 1","2"
"2ES3","73.63","89.59","75.73","40.02","41.71","59.99","P 1","2"
"2ETM","100.08","103.94","90.17","45.70","51.92","66.88","P 1","2"
"2ETX","70.98","86.45","61.91","41.89","44.35","63.10","P 1","2"
"2EWR","74.11","86.38","79.69","32.56","36.21","39.28","P 1","1"
"2EX4","105.72","88.18","115.97","43.92","47.37","64.73","P 1","2"
"2EY4","95.90","96.90","94.99","36.09","75.36","103.24","P 1","2"
"2F1O","91.14","107.91","93.17","76.24","86.19","100.56","P 1","8"
"2F2N","88.67","108.32","111.87","27.17","31.84","34.22","P 1","1"
"2F30","88.15","108.62","111.73","27.11","31.94","34.17","P 1","1"
"2F3M","120.53","106.19","89.97","51.97","93.10","93.00","P 1","6"
"2F4A","88.53","108.51","111.92","27.28","32.02","34.31","P 1","1"
"2F4G","88.96","108.42","111.47","27.13","31.75","34.19","P 1","1"
"2F51","106.20","109.02","91.68","33.88","33.92","50.50","P 1","2"
"2FAH","64.23","73.74","71.18","74.60","90.85","103.34","P 1","4"
"2FCL","73.69","85.51","78.97","32.77","36.38","39.78","P 1","1"
"2FDJ","75.65","74.65","66.23","36.77","38.71","40.26","P 1","1"
"2FE3","82.18","80.11","60.96","41.29","42.16","53.49","P 1","2"
"2FFI","80.86","76.86","80.61","43.39","46.29","64.08","P 1","2"
"2FGY","66.84","78.82","79.17","47.74","77.64","82.71","P 1","2"
"2FJT","88.89","82.63","65.47","33.53","35.55","71.99","P 1","2"
"2FL8","90.00","90.00","90.00","583.83","583.83","583.83","P 1","18"
"2FL9","90.00","90.00","90.00","1006.81","1006.81","1006.81","P 1","18"
"2FLD","72.29","72.30","70.51","41.96","42.98","71.54","P 1","2"
"2FNW","100.50","106.25","109.43","30.93","38.33","48.83","P 1","2"
"2FO5","86.32","86.46","79.63","44.37","51.73","115.65","P 1","4"
"2FR0","94.73","90.17","98.89","43.21","46.33","61.51","P 1","1"
"2FR1","90.03","103.81","100.71","42.04","42.94","61.04","P 1","1"
"2FRS","102.00","106.12","93.00","34.58","37.03","58.69","P 1","2"
"2FRV","90.03","90.02","119.99","112.78","113.16","133.91","P 1","6"
"2FRX","88.33","76.79","90.19","67.71","87.13","95.05","P 1","4"
"2FS6","72.68","76.37","87.28","34.45","37.06","56.53","P 1","2"
"2FS7","73.09","75.74","87.22","34.47","37.22","57.60","P 1","2"
"2FSQ","89.70","79.12","69.44","33.93","35.60","51.19","P 1","1"
"2FSS","77.93","89.33","81.34","53.43","68.39","109.37","P 1","4"
"2FTE","90.00","90.00","90.00","715.40","715.40","715.40","P 1","7"
"2FU5","102.88","97.46","90.12","40.92","49.85","83.48","P 1","2"
"2FUL","88.60","86.57","74.93","44.85","64.54","108.92","P 1","6"
"2FV2","94.16","117.26","91.91","68.51","68.96","69.36","P 1","4"
"2FWR","79.03","85.54","89.69","49.08","97.96","113.73","P 1","4"
"2FXO","91.11","92.73","107.18","40.16","41.87","97.79","P 1","4"
"2G2W","78.88","88.94","62.42","42.56","44.83","62.90","P 1","1"
"2G3S","112.10","99.03","89.96","26.33","44.00","54.97","P 1","10"
"2G50","95.15","93.45","112.26","82.63","109.01","144.46","P 1","8"
"2G51","102.46","104.97","102.16","32.90","36.80","39.63","P 1","1"
"2G9Z","66.14","89.94","65.07","50.83","60.33","63.72","P 1","2"
"2GAI","83.40","86.15","84.87","45.12","95.42","96.51","P 1","2"
"2GAM","73.61","76.26","64.56","73.50","80.58","102.32","P 1","4"
"2GBK","79.91","74.99","81.33","30.05","45.90","54.38","P 1","4"
"2GD5","68.68","83.61","76.70","33.58","72.57","89.23","P 1","4"
"2GEZ","100.60","92.90","113.40","47.68","60.20","114.63","P 1","4"
"2GFB","71.90","112.20","119.60","198.70","68.06","83.66","P 1","8"
"2GHA","96.89","93.08","102.05","34.73","55.51","93.56","P 1","2"
"2GHI","69.81","76.69","82.29","61.01","70.69","74.38","P 1","4"
"2GHJ","104.06","106.20","97.76","44.91","45.22","67.06","P 1","4"
"2GIT","82.00","76.22","78.18","50.38","62.71","74.77","P 1","2"
"2GK6","114.41","90.13","110.22","63.28","67.84","87.25","P 1","2"
"2GL6","69.91","84.47","68.54","91.13","104.12","112.38","P 1","8"
"2GLJ","89.88","90.00","116.68","121.71","129.68","222.73","P 1","24"
"2GM3","75.45","75.04","66.11","63.35","65.66","73.01","P 1","6"
"2GMN","78.92","89.51","61.91","42.50","44.77","76.97","P 1","2"
"2GN0","66.12","89.16","77.08","56.67","76.83","78.50","P 1","4"
"2GN1","103.09","94.70","112.94","46.32","55.30","67.24","P 1","2"
"2GO5","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"2GOY","90.10","102.57","89.95","60.03","102.79","139.37","P 1","8"
"2GQT","64.83","77.04","84.40","29.72","46.50","48.71","P 1","1"
"2GQU","65.26","76.13","84.01","29.82","46.85","48.59","P 1","1"
"2GRN","72.42","72.09","75.40","39.33","44.97","61.26","P 1","1"
